property_name,street,no_of_units
Parc Flora @ Tengah,Bounded by Tengah Drive and Tengah Garden Walk,560
Tanjong Tree Residences @ Hougang,Bounded by Hougang Street 13,300
Heart of Yew Tee,"Bounded by Yew Tee Close, Choa Chu Kang Street 62, and Choa Chu Kang North 6",68
Queen's Arc,Bounded by Queen's Crescent and Queensway Drive,610
Kent Heights,Located along Owen Road,430
Telok Blangah Beacon,Along Telok Blangah Drive,175
Plantation Creek,Bounded by Tengah Garden Avenue and Tengah Boulevard,713
River Peaks I & II,Along Kelantan Road and Weld Road,960
Yishun Beacon,Bounded by Yishun Central 1 and Yishun Avenue 2,646
Dakota Crest,"Bounded by Old Airport Road, Jalan Enam, and Dakota Crescent",443
King George’s Heights,"Bounded by King George’s Avenue, Syed Alwi Road, and Rochor Canal",398
Lakeside View,Bounded by Kang Ching Road and Yuan Ching Road,1016
Kim Keat Heights,Bounded by Lorong 7 and Lorong 6 Toa Payoh,385
Ghim Moh Ascent,"Bounded by Ghim Moh Road, Ghim Moh Close, and the Rail Corridor",867
Sun Plaza Spring,Bounded by Tampines Street 41 and Tampines Street 42,267
Bukit Merah Ridge,"Bounded by Bukit Merah View, Henderson Road, Tiong Bahru Road, and Lower Delta Road",1669
Keat Hong Grange,"Bounded by Choa Chua Kang Avenue 7, Choa Chu Kang Grove, and Keat Hong Link.",987
Woodlands South Plains,Bounded by Woodlands Avenue 1 and Woodlands Drive 17,630
Jurong East Breeze,"Located along the Pan-Island Expressway (PIE) and Jurong East Central, Jurong East Breeze",562
Alexandra Vale,Located along Alexandra View,782
Central Weave @ AMK,"Bounded by Ang Mo Kio Avenue 8, Ang Mo Kio Central 2, and Ang Mo Kio Central 3",896
Havelock Hillside,Along Havelock Road,869
Garden Waterfront I & II @ Tengah,Along Tengah Garden Avenue,2077
Aranda Breeze @ Yishun,Bounded by Yishun Avenue 1 and Yishun Street 53,699
Ghim Moh Natura,"Bounded by Ghim Moh Road, Ghim Moh Close, Commonwealth Avenue West, and the Rail Corridor",991
Queensway Canopy,"Bounded by Queensway, Queen’s Crescent, and the Rail Corridor",996
Kallang Horizon,Located along the Kallang River,477
West Glades @ Bukit Batok,"Bounded by Bukit Batok West Ave 2 and 5, West Glades",790
Miltonia Breeze @ Yishun,"Bounded by Miltonia Close, Yishun Avenue 1 and Yishun Avenue 10",1334
Vanda Breeze @ Yishun,"Bounded by Yishun Avenue 1, Yishun Street 53, and Yishun Avenue 10",961
Ulu Pandan Banks,"Bounded by Commonwealth Avenue West, Ghim Moh Link and the Ulu Pandan Park Connector",1330
